,public_key,bits,algorithm,time,memory_mb
356,"2,77270166845989E+021",72,Lenstra,39.73580125699664,0.0024909973144531
357,"2,77270166845989E+021",72,Pollard Rho,1.3330751009998494,0.0003280639648437
358,"3,0058171693449E+021",72,Fermat,12.42501040699426,0.0002212524414062
359,"3,0058171693449E+021",72,Pollard Rho,2.400348064002173,0.0003280639648437
360,"3,0058171693449E+021",72,Pollard p-1,4.356689939995704,0.1465301513671875
361,"3,05605156245317E+021",72,Lenstra,4.58781672600162,0.0024299621582031
362,"3,05605156245317E+021",72,Pollard Rho,1.691612062997592,0.0003280639648437
363,"3,36143446792659E+021",72,Lenstra,26.74776764199487,0.0024871826171875
364,"3,36143446792659E+021",72,Pollard Rho,2.096400004993484,0.0003280639648437
365,"4,01622374639165E+021",72,Lenstra,4.338510090994532,0.0024909973144531
366,"4,01622374639165E+021",72,Pollard Rho,0.2213426520029315,0.0003280639648437
367,"2,79310493315272E+022",76,Pollard Rho,0.6525011020057718,0.0003280639648437
368,"2,97136135670545E+022",76,Fermat,10.278933812995092,0.0002250671386718
369,"2,97136135670545E+022",76,Lenstra,2.756408793000446,0.0024375915527343
370,"2,97136135670545E+022",76,Pollard Rho,2.9964573150064098,0.0003280639648437
371,"3,08737899527622E+022",76,Lenstra,10.4747693169993,0.0024948120117187
372,"3,08737899527622E+022",76,Pollard Rho,5.272199637001904,0.0003280639648437
373,"4,92438535218012E+022",76,Pollard Rho,3.094068985999911,0.0003280639648437
374,"5,0386712082515E+022",76,Lenstra,8.775528801998007,0.0025825500488281
375,"5,0386712082515E+022",76,Pollard Rho,1.0282815390019096,0.0003280639648437
376,"5,1812757878055E+022",76,Lenstra,4.571620704002271,0.0024948120117187
377,"5,1812757878055E+022",76,Pollard Rho,4.973016991993063,0.0003280639648437
378,"6,0402167532338E+022",76,Pollard Rho,0.2817986400041263,0.0003280639648437
379,"6,20541497848333E+022",76,Lenstra,41.32652964499721,0.0026588439941406
380,"6,20541497848333E+022",76,Pollard Rho,1.412146657996345,0.0003280639648437
381,"6,21649845589582E+022",76,Pollard Rho,5.9992886550026014,0.0003280639648437
